Artist,Song,Time,Date
Audioslave,I Am The Highway,11:28 AM,2026-05-25
Seven Mary Three,Cumbersome,11:34 AM,2026-05-25
Ice Nine Kills,Twisting The Knife (feat Mckenna Grace),11:38 AM,2026-05-25
311,Down,11:41 AM,2026-05-25
Metallica,Wherever I May Roam,11:49 AM,2026-05-25
Chevelle,The Red,11:55 AM,2026-05-25
Red Hot Chili Peppers,Under The Bridge,11:59 AM,2026-05-25
Linkin Park,Crawling,12:04 PM,2026-05-25
Metallica,The Unforgiven,12:07 PM,2026-05-25
Des Rocs,When The Love Is Gone,12:13 PM,2026-05-25
Blink 182,All The Small Things,12:22 PM,2026-05-25
Metallica,Enter Sandman,12:25 PM,2026-05-25
Nickelback,How You Remind Me,12:31 PM,2026-05-25
Nirvana,About A Girl,12:34 PM,2026-05-25
Tim Montana,Break Me Down,12:37 PM,2026-05-25
Beastie Boys,So Whatcha Want,12:40 PM,2026-05-25
Weezer,Buddy Holly,12:49 PM,2026-05-25
Metallica,For Whom The Bell Tolls,12:51 PM,2026-05-25
Three Days Grace,Never Too Late,12:56 PM,2026-05-25
Pearl Jam,Last Kiss,01:00 PM,2026-05-25
Foo Fighters,The Pretender,01:03 PM,2026-05-25
Metallica,Welcome Home Sanitarium,01:08 PM,2026-05-25
Green Day,When I Come Around,01:20 PM,2026-05-25
Metallica,Atlas Rise,01:23 PM,2026-05-25
Korn,Got The Life,01:27 PM,2026-05-25
Candlebox,You,01:31 PM,2026-05-25
Pretty Reckless,When I Wake Up,01:36 PM,2026-05-25
Everclear,Santa Monica,01:39 PM,2026-05-25
Red Hot Chili Peppers,Otherside,01:47 PM,2026-05-25
Metallica,The Memory Remains (s&m2),01:52 PM,2026-05-25
Ozzy Osbourne,Shot In The Dark,01:56 PM,2026-05-25
Semisonic,Closing Time,02:00 PM,2026-05-25
Metallica,The Day That Never Comes,02:04 PM,2026-05-25
Three Days Grace,Don't Wanna Go Home Tonight,02:12 PM,2026-05-25
Stone Temple Pilots,Interstate Love Song,02:21 PM,2026-05-25
Metallica,Seek & Destroy (live At Nassau Coliseum 5/17/17),02:24 PM,2026-05-25
Alice In Chains,Man In The Box,02:31 PM,2026-05-25
Quiet Riot,Come On Feel The Noize,02:36 PM,2026-05-25
Dogstar,All In Now,02:41 PM,2026-05-25
Nirvana,Smells Like Teen Spirit,02:48 PM,2026-05-25
Metallica,Stone Cold Crazy,02:53 PM,2026-05-25
Stone Sour,Bother,02:55 PM,2026-05-25
Linkin Park,Somewhere I Belong,02:59 PM,2026-05-25
Tool,Sober,03:03 PM,2026-05-25
Alien Ant Farm,Smooth Criminal,03:08 PM,2026-05-25
Metallica,Sad But True,03:11 PM,2026-05-25
Foo Fighters,Learn To Fly,03:21 PM,2026-05-25
Godsmack,Whatever,03:25 PM,2026-05-25
Metallica,Some Kind Of Monster,03:29 PM,2026-05-25
Jane's Addiction,Been Caught Stealing,03:33 PM,2026-05-25
Social Distortion,Born To Kill,03:37 PM,2026-05-25
Rob Zombie,Living Dead Girl,03:40 PM,2026-05-25
Sublime,What I Got,03:47 PM,2026-05-25
Metallica,The Unforgiven (acoustic),03:50 PM,2026-05-25
Rush,Tom Sawyer,03:56 PM,2026-05-25
Korn,Freak On A Leash,04:01 PM,2026-05-25
Metallica,Nothing Else Matters,04:05 PM,2026-05-25
Sleep Theory,Words Are Worthless,04:11 PM,2026-05-25
Red Hot Chili Peppers,Californication,04:19 PM,2026-05-25
P.o.d.,Alive,04:24 PM,2026-05-25
Metallica,Fade To Black,04:28 PM,2026-05-25
Pearl Jam,Yellow Ledbetter,04:35 PM,2026-05-25
Eva Under Fire,Villainous (ft. Maria Brink),04:40 PM,2026-05-25
Offspring,The Kids Aren't Alright,04:46 PM,2026-05-25
Ac/dc,Thunderstruck,04:49 PM,2026-05-25
Metallica,The Shortest Straw,04:54 PM,2026-05-25
Linkin Park,One Step Closer,05:01 PM,2026-05-25
Metallica,Too Far Gone?,05:04 PM,2026-05-25
Evanescence,Who Will You Follow,05:08 PM,2026-05-25
Green Day,Basket Case,05:17 PM,2026-05-25
Foo Fighters,Best Of You,05:20 PM,2026-05-25
Metallica,Remember Tomorrow,05:25 PM,2026-05-25
Guns N' Roses,You Could Be Mine,05:30 PM,2026-05-25
Black Label Society,Name In Blood,05:36 PM,2026-05-25
Danzig,Mother,05:40 PM,2026-05-25
Nirvana,Come As You Are,05:50 PM,2026-05-25
Metallica,Of Wolf And Man,05:53 PM,2026-05-25
White Stripes,Icky Thump,05:58 PM,2026-05-25
Rob Zombie,Dragula,06:02 PM,2026-05-25
Audioslave,Like A Stone,06:06 PM,2026-05-25
Metallica,The Unforgiven Ii,06:11 PM,2026-05-25
Blind Melon,No Rain,06:24 PM,2026-05-25
Stone Sour,Through Glass,06:27 PM,2026-05-25
Metallica,Seek & Destroy,06:32 PM,2026-05-25
Stone Temple Pilots,Plush,06:39 PM,2026-05-25
Blur,Song 2,06:48 PM,2026-05-25
Metallica,Halo On Fire,06:51 PM,2026-05-25
Clash,London Calling,06:57 PM,2026-05-25
Sublime,Smoke Two Joints,07:00 PM,2026-05-25
Puddle Of Mudd,Blurry,07:03 PM,2026-05-25
Metallica,The Four Horsemen,07:07 PM,2026-05-25
Offspring,Self Esteem,07:21 PM,2026-05-25
Seether,Fake It,07:25 PM,2026-05-25
Metallica,Whiplash,07:28 PM,2026-05-25
Black Sabbath,Sweet Leaf,07:33 PM,2026-05-25
Shinedown,Safe And Sound,07:38 PM,2026-05-25
Nirvana,Dumb,07:41 PM,2026-05-25
Foo Fighters,My Hero,07:49 PM,2026-05-25
Metallica,I Disappear,07:54 PM,2026-05-25
Candlebox,Far Behind,07:58 PM,2026-05-25
